stock_symbol,date_only,data_source,Open,High,Low,Close,Volume,daily_return,sentiment_compound_filled,sentiment_positive_filled,sentiment_negative_filled,sentiment_neutral_filled,prev_day_sentiment_compound_filled,prev_day_sentiment_positive_filled,prev_day_sentiment_negative_filled,prev_day_sentiment_neutral_filled,sentiment_compound_is_filled,prev_day_sentiment_compound_is_filled,no_post_prediction,post_count_filled,prev_day_post_count_filled,day_of_week,month,is_quarter_end,volatility,sentiment_7day_avg,next_day_direction,predicted_direction,next_day_up,next_day_return
NVDA,2024-08-29,news,121.330103,124.3993464,116.6812471,117.5610275,453023300,-3.106463624,0.5,0,0,1,0,0,0,1,TRUE,FALSE,FALSE,1,1,3,8,FALSE,6.361240262,0,flat,up,0,-0.1338542913
NVDA,2024-08-30,news,119.500548,121.7200023,117.1911196,119.3405914,333751600,-0.1338542913,0.04,0,0,1,0,0,0,1,TRUE,TRUE,TRUE,1,1,4,8,FALSE,3.789842571,0,down,flat,0,-6.904578906
NVDA,2024-09-03,news,115.9814171,116.1813648,107.2635645,107.9733887,477155100,-6.904578906,0.5,0,0,1,0,0,0,1,TRUE,TRUE,TRUE,1,1,1,9,FALSE,7.688990608,0,up,up,1,0.7589369079
NVDA,2024-09-04,news,105.3840319,113.2420883,104.0943489,106.1838303,372470300,0.7589369079,-0.5,0,0,1,0,0,0,1,TRUE,TRUE,TRUE,1,1,2,9,FALSE,8.680384763,0,up,down,1,2.1144883
NVDA,2024-09-05,news,104.9641318,109.6229874,104.7341928,107.1835861,306850700,2.1144883,-0.5,0,0,1,0,0,0,1,TRUE,TRUE,TRUE,1,1,3,9,FALSE,4.65758595,0,down,down,0,-4.822287153
NVDA,2024-09-06,news,108.01338,108.1233535,100.925123,102.8046646,413638100,-4.822287153,-0.5,0,0,1,0,0,0,1,TRUE,TRUE,TRUE,1,1,4,9,FALSE,6.664202626,0,up,down,1,1.516022129
NVDA,2024-09-09,news,104.8541591,106.5237535,103.6644575,106.4437714,273912000,1.516022129,1.3834,0.194,0,0.806,0,0,0,1,FALSE,TRUE,TRUE,1,1,0,9,FALSE,2.726926664,0.1262,flat,up,0,0.2689926
NVDA,2024-09-10,news,107.7834348,109.373047,104.9241388,108.0733643,268283700,0.2689926,1.3834,0.194,0,0.806,0.8834,0.194,0,0.806,TRUE,FALSE,FALSE,1,1,1,9,FALSE,4.127636285,0.2524,up,up,1,6.874489729
NVDA,2024-09-11,news,109.3630439,117.1611249,107.3935281,116.8811951,441422400,6.874489729,0.3834,0.194,0,0.806,0.8834,0.194,0,0.806,TRUE,TRUE,TRUE,1,1,2,9,FALSE,8.931350514,0.3786,up,down,1,1.968506611
NVDA,2024-09-12,news,116.8212013,120.7705705,115.3614371,119.1208344,367100500,1.968506611,0.02,0.194,0,0.806,0.8834,0.194,0,0.806,TRUE,TRUE,TRUE,1,1,3,9,FALSE,4.630266888,0.5048,flat,flat,0,0.01679261233
NVDA,2024-09-13,news,119.06084,119.9406957,117.5810748,119.0808334,238358300,0.01679261233,0.02,0.032,0.175,0.793,0.8834,0.194,0,0.806,FALSE,TRUE,TRUE,1,1,4,9,FALSE,1.981861416,0.3831428571,flat,flat,0,-0.00856420597
NVDA,2024-09-16,news,116.7712081,118.1609838,114.3415988,116.7612076,248772300,-0.00856420597,-1.3516,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,FALSE,FALSE,1,1,0,9,FALSE,3.270827695,0.2614857143,down,down,0,-2.183296836
NVDA,2024-09-17,news,118.1509903,118.7808939,114.8115312,115.5714035,231925900,-2.183296836,0.03,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,1,9,FALSE,3.359567811,0.1398285714,down,flat,0,-2.174472911
NVDA,2024-09-18,news,115.871352,117.6810583,113.2017835,113.3517609,310318900,-2.174472911,0.03,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,2,9,FALSE,3.865731082,-0.1080285714,flat,flat,0,0.4431225217
NVDA,2024-09-19,news,117.3311155,119.640749,117.2311331,117.8510361,293506400,0.4431225217,0.04,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,3,9,FALSE,2.053688703,-0.3558857143,down,flat,0,-0.9055164708
NVDA,2024-09-20,news,117.0411655,118.6009198,115.371436,115.9813385,382462400,-0.9055164708,-0.3516,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,4,9,FALSE,2.759271676,-0.6037428571,flat,up,0,-0.2488210278
NVDA,2024-09-23,news,116.5312568,116.9711808,114.8415261,116.2413025,206228500,-0.2488210278,-1.3516,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,0,9,FALSE,1.827539423,-0.8516,up,down,1,3.733270021
NVDA,2024-09-24,news,116.5012492,121.7804061,115.3614332,120.8505554,354966800,3.733270021,-0.3516,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,1,9,FALSE,5.509788863,-0.8516,up,up,1,1.221115829
NVDA,2024-09-25,news,122.0003694,124.9199055,121.5904393,123.4901352,284692900,1.221115829,-1.3516,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,2,9,FALSE,2.729062385,-0.8516,down,down,0,-2.176657784
NVDA,2024-09-26,news,126.7796083,127.6494634,121.7804125,124.02005,302582900,-2.176657784,0.05,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,3,9,FALSE,4.629333577,-0.8516,down,flat,0,-2.073081931
NVDA,2024-09-27,news,123.9500643,124.0100522,119.2408227,121.3804779,271009200,-2.073081931,-0.3516,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,4,9,FALSE,3.847702344,-0.8516,up,up,1,2.64559627
NVDA,2024-09-30,news,118.2909623,121.4804515,118.130992,121.4204636,226553700,2.64559627,-1.3516,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,0,9,TRUE,2.831543017,-0.8516,down,down,0,-3.917218342
NVDA,2024-10-01,news,121.7504076,122.4203056,115.7713739,116.9811783,302094500,-3.917218342,-0.3516,0.032,0.175,0.793,-0.8516,0.032,0.175,0.793,TRUE,TRUE,TRUE,1,1,1,10,FALSE,5.461116621,-0.8516,up,up,1,2.069732036
NVDA,2024-10-02,news,116.4212709,119.3607927,115.121477,118.8308792,221845900,2.069732036,-0.8612,0.023,0.055,0.922,-0.8516,0.032,0.175,0.793,FALSE,TRUE,TRUE,1,1,2,10,FALSE,3.641358446,-0.7815428571,up,down,1,1.596096869
NVDA,2024-10-03,news,120.9005485,124.3399976,120.3206399,122.8302383,277118000,1.596096869,0.05,0.023,0.055,0.922,-0.3612,0.023,0.055,0.922,TRUE,FALSE,FALSE,1,1,3,10,FALSE,3.324515658,-0.7114857143,flat,flat,0,-0.01601110299
NVDA,2024-10-04,news,124.9199034,125.0198858,121.8104031,124.8999023,243678100,-0.01601110299,-0.8612,0.023,0.055,0.922,-0.3612,0.023,0.055,0.922,TRUE,TRUE,TRUE,1,1,4,10,FALSE,2.569232449,-0.6414285714,up,down,1,2.184177457
NVDA,2024-10-07,news,124.9698911,130.6189837,124.9298966,127.6994553,346250200,2.184177457,0.1388,0.023,0.055,0.922,-0.3612,0.023,0.055,0.922,TRUE,TRUE,TRUE,1,1,0,10,FALSE,4.55236622,-0.5713714286,up,up,1,2.019042679
NVDA,2024-10-08,news,130.23904,133.4585233,129.3991788,132.8686218,285722500,2.019042679,0.04,0.023,0.055,0.922,-0.3612,0.023,0.055,0.922,TRUE,TRUE,TRUE,1,1,1,10,FALSE,3.116841494,-0.5013142857,down,flat,0,-1.088663565
NVDA,2024-10-09,news,134.088434,134.4983718,131.3588773,132.6286621,246191600,-1.088663565,0.1388,0.023,0.055,0.922,-0.3612,0.023,0.055,0.922,TRUE,TRUE,TRUE,1,1,2,10,FALSE,2.341361103,-0.4312571429,up,up,1,2.198463965
NVDA,2024-10-10,news,131.8887874,134.9782867,130.9789301,134.7883148,242311300,2.198463965,-0.8612,0.023,0.055,0.922,-0.3612,0.023,0.055,0.922,TRUE,TRUE,TRUE,1,1,3,10,FALSE,3.032370471,-0.3612,up,down,1,0.5895146461
NVDA,2024-10-11,news,133.9884388,135.7581584,133.6385043,134.7783203,170209500,0.5895146461,0.3469,0.071,0.098,0.831,-0.3612,0.023,0.055,0.922,FALSE,TRUE,TRUE,1,1,4,10,FALSE,1.581967916,-0.3314714286,up,up,1,1.172423309
NVDA,2024-10-14,news,136.448057,139.5775585,136.2780861,138.0478058,232347700,1.172423309,-0.6531,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,FALSE,FALSE,1,1,0,10,FALSE,2.418116086,-0.3017428571,down,down,0,-4.547754577
NVDA,2024-10-15,news,137.8478228,138.5477225,128.7193015,131.5788422,377831000,-4.547754577,0.3469,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,1,10,FALSE,7.129906564,-0.2720142857,up,up,1,1.29870544
NVDA,2024-10-16,news,133.9584403,136.598015,131.5588326,135.6981659,264879700,1.29870544,0.02,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,2,10,FALSE,3.761750595,-0.2422857143,down,flat,0,-1.72958499
NVDA,2024-10-17,news,139.3175904,140.8673442,136.8479863,136.9079742,306435900,-1.72958499,0.02,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,3,10,FALSE,2.885032566,-0.2125571429,flat,flat,0,-0.4831601484
NVDA,2024-10-18,news,138.6476888,138.8776476,137.2579131,137.9777985,176090200,-0.4831601484,-0.6531,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,4,10,FALSE,1.168237642,-0.1828285714,up,down,1,4.039673955
NVDA,2024-10-21,news,138.1077854,143.6868896,137.9778014,143.6868896,264554500,4.039673955,0.3469,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,0,10,FALSE,4.133791727,-0.1531,flat,up,0,0.4758188079
NVDA,2024-10-22,news,142.8870264,144.3967782,141.7572032,143.5669098,226311600,0.4758188079,-0.6531,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,1,10,FALSE,1.847316018,-0.1531,down,down,0,-1.739070085
NVDA,2024-10-23,news,142.0071558,142.4070854,137.4378988,139.5375519,285930000,-1.739070085,0.04,0.071,0.098,0.831,-0.1531,0.071,0.098,0.831,TRUE,TRUE,TRUE,1,1,2,10,FALSE,3.499250866,-0.1531,flat,flat,0,-0.2911544104
